,0,1,2,3,4,5,6,7,8,9,10
239,0.688,0.645,5.0,-6.101,0.0,0.0465,0.000694,0.902,0.243,0.383,155.962
240,0.575,0.635,8.0,-3.178,0.0,0.0476,0.0255,0.0,0.0868,0.325,93.98
241,0.273,0.565,2.0,-9.9,0.0,0.0375,0.0426,1.64e-05,0.115,0.0506,134.781
242,0.62,0.653,2.0,-8.677,1.0,0.0409,0.00142,0.476,0.101,0.69,148.015
243,0.581,0.819,5.0,-4.87,1.0,0.0423,0.000359,0.909,0.361,0.654,135.041
244,0.712,0.739,2.0,-8.126,0.0,0.0289,0.00482,0.000199,0.119,0.0674,124.991
245,0.798,0.775,11.0,-6.129,1.0,0.0521,0.00213,0.224,0.0913,0.767,127.029
246,0.303,0.538,4.0,-6.785,0.0,0.0414,0.0191,1.27e-05,0.287,0.254,168.65
247,0.491,0.862,9.0,-2.991,0.0,0.0285,0.00032,2.36e-05,0.352,0.225,144.881
248,0.342,0.573,2.0,-8.015,0.0,0.0542,0.0988,0.595,0.0454,0.131,163.962
249,0.544,0.734,10.0,-7.235,0.0,0.0433,0.0576,0.000112,0.111,0.267,94.004
250,0.497,0.925,2.0,-4.489,1.0,0.0745,0.00523,0.781,0.222,0.262,139.961
251,0.566,0.587,6.0,-5.96,1.0,0.0308,0.0155,2.05e-05,0.111,0.246,82.046
252,0.683,0.481,8.0,-9.174,0.0,0.075,0.191,0.736,0.0907,0.47,120.001
253,0.558,0.733,8.0,-6.65,1.0,0.0693,0.0334,0.00193,0.193,0.173,89.992
254,0.749,0.745,6.0,-7.367,0.0,0.0479,0.0041,0.395,0.0748,0.347,115.048
255,0.629,0.852,1.0,-5.094,1.0,0.0521,0.0865,0.0215,0.263,0.415,104.997
256,0.709,0.669,11.0,-8.422,0.0,0.0409,0.0216,0.0125,0.146,0.106,105.004
257,0.294,0.697,6.0,-6.029,1.0,0.128,0.0398,0.00011,0.136,0.183,160.566
258,0.515,0.663,7.0,-7.896,0.0,0.0328,0.179,0.668,0.494,0.0756,120.024
259,0.612,0.628,2.0,-6.754,1.0,0.0752,0.0358,0.00898,0.193,0.434,125.043
260,0.494,0.572,0.0,-5.688,1.0,0.034,0.0137,3.25e-06,0.433,0.229,85.11
261,0.515,0.686,0.0,-6.258,1.0,0.0929,0.00324,0.505,0.0647,0.148,140.013
262,0.555,0.585,2.0,-6.672,1.0,0.0272,0.0149,0.86,0.0707,0.0803,130.004
263,0.461,0.716,6.0,-5.462,1.0,0.0436,0.00986,0.0,0.131,0.192,161.159
264,0.746,0.67,0.0,-5.072,1.0,0.0594,0.0408,0.194,0.133,0.629,125.016
265,0.71,0.578,0.0,-6.205,0.0,0.0297,0.371,0.669,0.417,0.348,96.064
266,0.465,0.714,11.0,-6.611,0.0,0.0317,0.00591,0.624,0.16,0.294,140.026
267,0.517,0.66,5.0,-6.175,0.0,0.0315,3.4e-05,0.252,0.571,0.0701,90.007
268,0.644,0.848,4.0,-4.952,0.0,0.0511,0.00416,0.0168,0.0629,0.283,99.989
269,0.218,0.464,7.0,-9.013,0.0,0.0335,0.0335,0.962,0.122,0.0414,139.32
