,0,1,2,3,4,5,6,7,8,9,10
180,0.643,0.685,3.0,-6.696,1.0,0.0869,0.307,0.0,0.102,0.405,143.957
181,0.574,0.405,1.0,-7.606,1.0,0.0266,0.272,0.000254,0.101,0.275,75.952
182,0.688,0.713,6.0,-6.157,1.0,0.0339,0.168,0.0,0.189,0.545,96.009
183,0.612,0.735,3.0,-5.305,1.0,0.038,0.0894,0.0,0.115,0.298,93.015
184,0.403,0.745,1.0,-6.534,0.0,0.0858,0.0292,0.0,0.0985,0.644,186.241
185,0.564,0.531,3.0,-5.809,1.0,0.0287,0.376,0.0,0.312,0.407,146.018
186,0.643,0.145,6.0,-11.212,1.0,0.044,0.587,0.0,0.114,0.145,78.057
187,0.462,0.237,1.0,-10.02,1.0,0.0313,0.717,0.0,0.109,0.155,128.007
188,0.688,0.947,6.0,-4.097,1.0,0.0544,0.221,0.0,0.284,0.878,136.031
189,0.33,0.488,8.0,-7.521,1.0,0.0335,0.165,0.0,0.114,0.313,171.63
190,0.73,0.386,7.0,-9.347,1.0,0.0299,0.704,0.0,0.574,0.859,120.934
191,0.639,0.261,5.0,-9.811,1.0,0.0304,0.476,0.0,0.249,0.272,109.972
192,0.645,0.782,11.0,-4.366,1.0,0.0372,0.138,0.0,0.134,0.755,95.577
193,0.637,0.431,6.0,-7.991,1.0,0.0297,0.191,0.0,0.108,0.151,140.008
194,0.569,0.56,3.0,-7.371,1.0,0.0342,0.174,4.7e-06,0.0863,0.413,82.002
195,0.582,0.731,5.0,-5.234,1.0,0.0737,0.0822,0.0,0.114,0.654,184.06
196,0.72,0.583,8.0,-8.201,1.0,0.0294,0.492,2.8e-06,0.095,0.591,90.972
197,0.372,0.655,0.0,-5.809,0.0,0.0315,0.00837,1.56e-06,0.0847,0.462,158.757
198,0.586,0.452,0.0,-5.692,1.0,0.0319,0.129,0.0,0.198,0.451,142.312
199,0.56,0.486,8.0,-7.871,1.0,0.0361,0.545,1.35e-06,0.0589,0.436,119.682
200,0.538,0.704,1.0,-8.904,0.0,0.0332,0.0794,0.0,0.0867,0.583,120.963
201,0.468,0.834,4.0,-5.806,1.0,0.0323,0.00467,0.000454,0.318,0.878,131.322
